Traffic Sign,GPU,CPU
Speed limit (20km/h),22.75,25.5
Speed limit (40km/h),13.58,16.12
Speed limit (60km/h),29.17,34.33
Stop sign,31.92,35.83
Other signs,28.33,31.67
