GDP per capita,Electoral votes 2000,Electoral votes 2010,House seats 2000,House seats 2010,Human Development Index 2010,Land Area  (sq miles),Number of Records,Order,Pop 2000,Pop 2010,Real GDP 2010,Real GDP 2011,Real GDP 2012,Real GDP 2013,Region,State,Total area (sq miles),Water Area (sq miles)
0.043643831,6,6,4,4,4.96,81758.72,1,35,2688418,2853118,124521,129243,129726,132153,       West North Central,Kansas,82278.36,519.64
0.050706034,10,10,8,8,5.69,79626.74,1,33,4919479,5303925,268941,275663,281284,289125,       West North Central,Minnesota,86935.83,7309.09
0.042661398,11,10,9,8,4.6,68741.52,1,32,5595211,5988927,255496,253146,256183,258135,       West North Central,Missouri,69706.99,965.47
0.049209321,5,5,3,3,5.11,76824.17,1,36,1711263,1826341,89873,93267,95349,98250,       West North Central,Nebraska,77347.81,523.64
0.051389329,3,3,1,1,4.9,69000.8,1,38,642200,672591,34564,37735,45385,49772,       West North Central,North Dakota,70698.32,1697.52
0.046623597,3,3,1,1,4.79,75811,1,37,754844,814180,37960,39804,39906,41142,       West North Central,South Dakota,77115.68,1304.68
0.037746260,6,6,4,4,3.91,52035.48,1,26,2673400,2915918,110065,111829,113056,115745,       West South Central,Arkansas,53178.55,1143.07
0.048709658,9,8,7,6,4.12,43203.9,1,24,4468976,4533372,220819,214705,219209,222008,       West South Central,Louisiana,52378.13,9174.23
0.039462583,8,7,5,5,4.14,68594.92,1,25,3450654,3751351,148038,153104,157737,164303,       West South Central,Oklahoma,69898.87,1303.95
0.047801359,32,38,32,36,4.65,261231.71,1,23,20851820,25145561,1201992,1252007,1338578,1387598,       West South Central,Texas,268596.46,7364.75
,,,,,,76.46,1,55,57291,55519,,,,,Territories,American Samoa,581.05,504.6
,,,,,,209.8,1,53,154805,159358,,,,,Territories,Guam,570.62,360.82
,,,,,,182.33,1,56,69221,53883,,,,,Territories,Northern Mariana Islands,1975.57,1793.24
,,,,,,3423.78,1,52,3808610,3725789,,,,,Territories,Puerto Rico,5324.84,1901.07
,,,,,,134.32,1,54,108612,106405,,,,,Territories,U.S. Virgin Islands,732.93,598.61
